Crash Year,Crash Month,Crash Day,Time of Day,Day of Week,City or Township,Crash: Intersection,Crash: Hit-and-Run,Lighting Conditions,Weather Conditions,Speed Limit at Crash Site,Imputed_Speed Limit at Crash Site,Worst Injury In Crash,Person Age,Imputed_Person Age,Person Gender,ADI Impute Column,Column 2
2018,10,1,7:00 AM - 8:00 AM,1,Wayne County: Detroit,1,0,4,2,30,30,2,53,53,1,[2018 10 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 30 2 53 0 1],[53]
2018,10,1,12:00 noon - 1:00 PM,1,Wayne County: Detroit,0,1,2,3,25,25,0,,"42,755034665",1,"[2018 10 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 25 0 42.4672540873661
	 0.442225409479542 0.562793084856915]","[42,7550346649059]"
2018,10,1,7:00 AM - 8:00 AM,1,Wayne County: Detroit,0,1,4,3,25,25,1,,"42,755034665",1,"[2018 10 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 25 1 41.5989655113705
	 0.316596193664307 0.682856224568552]","[42,7550346649059]"
2018,11,1,9:00 AM - 10:00 AM,4,Wayne County: Wyandotte,1,0,2,3,25,25,1,21,21,0,[2018 11 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 25 1 21 1 0],[21]
2018,11,1,7:00 PM - 8:00 PM,4,Wayne County: Dearborn,0,1,4,3,40,40,3,,"42,755034665",1,"[2018 11 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 40 3 43.2300645739014
	 0.374532635941215 0.6190076234656]","[42,7550346649059]"
2018,11,1,6:00 PM - 7:00 PM,4,Wayne County: Detroit,0,0,3,3,,"30,694675554",1,69,69,1,"[2018 11 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 30.6946755537758 1 69
	 0 1]",[69]
2018,11,1,7:00 AM - 8:00 AM,4,Wayne County: Detroit,0,0,4,3,35,35,1,52,52,0,[2018 11 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 35 1 52 1 0],[52]
2018,11,1,6:00 PM - 7:00 PM,4,Wayne County: Detroit,1,0,4,3,25,25,0,26,26,0,[2018 11 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 25 0 26 1 0],[26]
2018,11,1,5:00 AM - 6:00 AM,4,Wayne County: Detroit,1,0,4,3,35,35,4,58,58,1,[2018 11 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 35 4 58 0 1],[58]
2018,11,1,2:00 PM - 3:00 PM,4,Wayne County: Detroit,1,1,2,3,25,25,1,,"42,755034665",1,"[2018 11 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 25 1 42.0449207842431
	 0.417622501697183 0.588044171989506]","[42,7550346649059]"
